agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,Plumbing,27,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,28,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,29,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,30,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,31,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,37,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,38,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,39,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,41,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,42,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,43,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,44,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,45,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,48,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,49,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,50,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,52,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,53,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,56,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,58,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,59,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,60,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,62,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Plumbing,66,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Scaffold Safety,0,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Scaffold Safety,1,6,12,2017-05-29T22:38:45.331470
