,agency,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
211,DEP,14.0,21,4,2017-07-24T20:44:41.174009
212,HPD,21.0,78,4,2017-07-24T20:44:41.174009
213,DOT,6.0,346,4,2017-07-24T20:44:41.174009
214,HPD,20.0,143,4,2017-07-24T20:44:41.174009
215,DEP,18.0,17,4,2017-07-24T20:44:41.174009
216,DSNY,10.0,19,4,2017-07-24T20:44:41.174009
217,NYPD,0.0,43488,4,2017-07-24T20:44:41.174009
218,DOB,13.0,39,4,2017-07-24T20:44:41.174009
219,DEP,3.0,480,4,2017-07-24T20:44:41.174009
220,DOHMH,20.0,15,4,2017-07-24T20:44:41.174009
221,DOHMH,21.0,10,4,2017-07-24T20:44:41.174009
222,DOF,10.0,23,4,2017-07-24T20:44:41.174009
223,DOITT,8.0,3,4,2017-07-24T20:44:41.174009
224,DOE,7.0,1,4,2017-07-24T20:44:41.174009
225,DPR,2.0,372,4,2017-07-24T20:44:41.174009
226,TLC,16.0,8,4,2017-07-24T20:44:41.174009
227,DOT,4.0,580,4,2017-07-24T20:44:41.174009
228,HPD,4.0,1535,4,2017-07-24T20:44:41.174009
229,TLC,22.0,3,4,2017-07-24T20:44:41.174009
230,DSNY,8.0,65,4,2017-07-24T20:44:41.174009
231,DOHMH,6.0,191,4,2017-07-24T20:44:41.174009
232,DOF,8.0,69,4,2017-07-24T20:44:41.174009
233,DOITT,10.0,1,4,2017-07-24T20:44:41.174009
234,HPD,6.0,1714,4,2017-07-24T20:44:41.174009
235,DOT,20.0,80,4,2017-07-24T20:44:41.174009
236,NYCEM,2.0,1,4,2017-07-24T20:44:41.174009
237,NYPD,1.0,13434,4,2017-07-24T20:44:41.174009
238,DOT,21.0,18,4,2017-07-24T20:44:41.174009
239,DEP,9.0,54,4,2017-07-24T20:44:41.174009
240,DOE,13.0,1,4,2017-07-24T20:44:41.174009
241,DCA,2.0,160,4,2017-07-24T20:44:41.174009
242,DOITT,12.0,5,4,2017-07-24T20:44:41.174009
243,DOB,7.0,158,4,2017-07-24T20:44:41.174009
244,DOHMH,4.0,190,4,2017-07-24T20:44:41.174009
245,DOB,19.0,17,4,2017-07-24T20:44:41.174009
246,DOF,3.0,459,4,2017-07-24T20:44:41.174009
247,DSNY,3.0,1226,4,2017-07-24T20:44:41.174009
248,DEP,10.0,46,4,2017-07-24T20:44:41.174009
249,HPD,2.0,1343,4,2017-07-24T20:44:41.174009
250,DFTA,1.0,20,4,2017-07-24T20:44:41.174009
251,DEP,12.0,33,4,2017-07-24T20:44:41.174009
252,DPR,21.0,3,4,2017-07-24T20:44:41.174009
253,DPR,20.0,6,4,2017-07-24T20:44:41.174009
254,DOITT,9.0,4,4,2017-07-24T20:44:41.174009
255,DOB,5.0,178,4,2017-07-24T20:44:41.174009
256,DSNY,14.0,8,4,2017-07-24T20:44:41.174009
257,TLC,0.0,191,4,2017-07-24T20:44:41.174009
258,DOF,15.0,26,4,2017-07-24T20:44:41.174009
259,DOHMH,2.0,209,4,2017-07-24T20:44:41.174009
260,DOF,14.0,41,4,2017-07-24T20:44:41.174009
261,DCA,4.0,30,4,2017-07-24T20:44:41.174009
262,DSNY,15.0,2,4,2017-07-24T20:44:41.174009
263,DOB,11.0,60,4,2017-07-24T20:44:41.174009
264,DOF,18.0,14,4,2017-07-24T20:44:41.174009
265,DOE,2.0,2,4,2017-07-24T20:44:41.174009
266,DCA,13.0,2,4,2017-07-24T20:44:41.174009
267,TLC,3.0,16,4,2017-07-24T20:44:41.174009
268,DOITT,1.0,4,4,2017-07-24T20:44:41.174009
269,HPD,25.0,1,4,2017-07-24T20:44:41.174009
270,DPR,7.0,141,4,2017-07-24T20:44:41.174009
271,DOHMH,17.0,10,4,2017-07-24T20:44:41.174009
272,DOT,11.0,38,4,2017-07-24T20:44:41.174009
273,DEP,16.0,15,4,2017-07-24T20:44:41.174009
274,EDC,6.0,8,4,2017-07-24T20:44:41.174009
275,DOT,5.0,391,4,2017-07-24T20:44:41.174009
276,NYPD,12.0,2,4,2017-07-24T20:44:41.174009
277,DOT,19.0,57,4,2017-07-24T20:44:41.174009
278,HPD,17.0,236,4,2017-07-24T20:44:41.174009
279,DFTA,9.0,71,4,2017-07-24T20:44:41.174009
280,DOITT,23.0,2,4,2017-07-24T20:44:41.174009
281,EDC,4.0,1,4,2017-07-24T20:44:41.174009
282,TLC,18.0,13,4,2017-07-24T20:44:41.174009
283,NYPD,10.0,1,4,2017-07-24T20:44:41.174009
284,TLC,14.0,12,4,2017-07-24T20:44:41.174009
285,DSNY,0.0,1118,4,2017-07-24T20:44:41.174009
286,TLC,15.0,10,4,2017-07-24T20:44:41.174009
287,DOF,0.0,377,4,2017-07-24T20:44:41.174009
288,DFTA,10.0,36,4,2017-07-24T20:44:41.174009
289,DOE,4.0,1,4,2017-07-24T20:44:41.174009
290,DOB,20.0,17,4,2017-07-24T20:44:41.174009
291,DOHMH,13.0,55,4,2017-07-24T20:44:41.174009
292,DOB,21.0,18,4,2017-07-24T20:44:41.174009
293,TLC,8.0,5,4,2017-07-24T20:44:41.174009
294,DOT,7.0,282,4,2017-07-24T20:44:41.174009
295,DPR,11.0,52,4,2017-07-24T20:44:41.174009
296,DSNY,22.0,2,4,2017-07-24T20:44:41.174009
297,DEP,1.0,2263,4,2017-07-24T20:44:41.174009
298,DOF,22.0,19,4,2017-07-24T20:44:41.174009
299,DPR,5.0,179,4,2017-07-24T20:44:41.174009
300,DOE,6.0,5,4,2017-07-24T20:44:41.174009
301,DEP,23.0,7,4,2017-07-24T20:44:41.174009
302,DHS,1.0,159,4,2017-07-24T20:44:41.174009
303,DFTA,12.0,20,4,2017-07-24T20:44:41.174009
304,DPR,19.0,13,4,2017-07-24T20:44:41.174009
305,HPD,13.0,472,4,2017-07-24T20:44:41.174009
